index,label,split
179,3,train
180,0,validation
181,3,test
182,0,train
183,1,train
184,1,train
185,2,validation
186,2,validation
187,0,train
188,3,train
189,3,train
190,1,validation
191,0,train
192,1,train
193,4,train
194,0,train
195,4,train
196,4,train
197,4,train
198,4,train
199,0,train
200,4,test
201,2,train
202,3,train
203,4,train
204,0,train
205,0,test
206,4,train
207,4,train
208,2,train
209,2,train
210,2,train
211,3,train
212,4,validation
213,4,train
214,4,validation
215,3,train
216,3,train
217,2,train
218,1,train
219,4,train
220,3,train
221,4,train
222,3,train
223,2,validation
224,4,train
225,2,train
226,2,train
227,4,train
228,4,train
229,3,train
230,3,train
231,0,train
232,3,train
233,2,train
234,0,train
235,1,train
236,2,train
237,1,test
238,4,train
239,3,train
240,1,test
241,2,train
242,2,train
243,0,train
244,4,train
245,2,train
246,2,train
247,4,test
248,0,train
249,0,test
250,1,test
251,4,train
252,1,train
253,1,validation
254,1,train
255,1,train
256,0,train
257,2,train
258,0,train
259,2,train
260,2,train
261,4,test
262,0,train
263,3,test
264,0,train
265,0,train
266,1,train
267,2,train
268,0,test
269,1,train
270,2,train
271,3,train
272,3,train
273,1,validation
274,3,train
275,0,train
276,1,train
277,0,train
278,0,train
279,3,test
280,3,train
281,2,test
282,4,train
283,0,validation
284,1,train
285,0,train
286,2,train
287,1,train
288,1,train
289,2,train
290,2,train
291,0,test
292,3,train
293,3,validation
294,4,train
295,0,train
296,4,train
297,0,train
298,4,train
299,0,train
300,2,validation
301,2,train
302,1,train
303,0,train
304,0,train
305,0,train
306,2,train
307,0,validation
308,3,train
309,2,train
310,1,train
311,1,train
312,1,train
313,3,validation
314,0,train
315,0,train
316,2,train
317,2,train
318,1,train
319,2,train
320,2,train
321,4,train
322,0,train
323,0,train
324,0,train
325,1,train
326,1,train
327,0,train
328,4,train
329,1,train
330,4,train
331,4,train
332,3,train
333,1,train
334,0,train
335,1,train
336,4,train
337,0,train
338,0,validation
339,3,train
340,2,validation
341,3,train
342,4,train
343,4,validation
344,0,train
345,0,train
346,2,train
347,2,train
348,3,train
349,2,test
350,3,train
351,3,train
352,2,train
353,3,train
354,4,test
355,0,train
356,0,train
357,3,train
358,2,train
359,4,train
360,1,train
361,0,test
362,0,train
363,4,test
364,4,train
365,2,train
366,0,validation
367,3,train
368,4,train
369,3,train
370,0,train
371,3,train
372,2,validation
373,0,train
374,3,train
375,2,train
376,0,train
377,0,validation
378,3,train
379,2,train
380,4,test
381,0,train
382,3,test
383,0,train
384,4,train
385,0,train
386,0,test
387,1,train
388,3,test
389,2,validation
390,0,train
391,2,train
392,2,validation
393,3,train
394,4,train
395,0,train
396,1,train
397,4,train
398,1,train
399,0,test
400,4,train
401,4,validation
402,3,train
403,4,train
404,0,validation
405,2,train
406,0,train
407,2,validation
408,3,test
409,3,train
410,2,train
411,4,train
412,0,train
413,0,validation
414,3,train
415,0,train
416,1,train
417,2,validation
418,1,train
419,2,test
420,2,test
421,2,train
422,1,train
423,0,train
424,4,test
425,2,validation
426,4,train
427,1,validation
428,0,validation
429,0,validation
430,4,train
431,2,train
432,1,train
433,3,train
434,1,train
435,2,train
436,3,validation
437,3,train
438,1,train
439,1,train
440,0,train
441,1,train
442,2,train
443,0,train
444,2,train
445,2,train
446,0,train
447,3,train
448,1,test
449,0,train
450,3,train
451,2,train
452,1,train
453,4,train
454,3,train
455,1,train
456,3,test
457,0,train
458,0,validation
459,2,validation
460,3,train
461,4,train
462,0,train
463,1,validation
464,0,train
465,0,train
466,2,train
467,3,train
468,0,train
469,4,train
470,1,train
471,2,train
472,1,train
473,3,train
474,4,test
475,0,train
476,4,validation
477,4,validation
478,3,train
479,0,train
480,2,validation
481,4,train
482,0,train
483,3,validation
484,1,train
485,0,train
486,1,train
487,2,validation
488,4,train
489,0,test
490,4,test
491,4,train
492,2,train
493,3,train
494,0,test
495,4,test
496,1,train
497,0,test
498,0,train
499,0,train
500,0,train
501,3,validation
502,2,train
503,1,train
504,0,train
505,4,test
506,2,validation
507,2,train
508,1,train
509,2,train
510,0,test
511,0,validation
512,1,test
513,2,train
514,2,train
515,4,train
516,2,train
517,2,train
518,3,train
519,3,validation
520,0,test
521,0,train
522,0,train
523,2,validation
524,4,train
525,0,train
526,2,validation
527,2,test
528,4,validation
529,3,train
530,3,train
531,2,validation
532,0,test
533,2,validation
534,1,train
535,0,train
536,0,train
537,4,train
538,4,train
539,0,train
540,4,train
541,3,train
542,4,train
543,3,test
544,2,train
545,2,train
546,0,validation
547,3,train
548,1,train
549,4,train
550,2,test
551,3,train
552,3,train
553,3,train
554,2,train
555,0,train
556,3,train
557,3,train
558,4,train
559,4,train
560,4,train
561,3,train
562,4,train
563,0,train
564,0,train
565,1,validation
566,3,test
567,1,test
568,2,validation
569,0,train
570,0,test
571,0,train
572,3,train
573,2,train
574,4,validation
575,0,train
576,4,train
577,4,validation
578,2,validation
579,3,train
580,3,train
581,3,train
582,0,test
583,0,test
584,2,train
585,0,train
586,4,train
587,1,train
588,0,train
589,0,test
590,4,train
591,3,train
592,2,train
593,1,train
594,1,train
595,2,train
596,2,train
597,1,train
598,2,train
599,1,test
600,4,train
601,4,validation
602,0,train
603,1,train
604,2,test
605,3,test
606,3,test
607,1,validation
608,0,train
609,0,train
610,0,train
611,4,train
612,0,train
613,2,train
614,4,train
615,1,train
616,3,train
617,0,validation
618,2,train
619,3,validation
620,3,train
621,0,train
622,2,test
623,4,train
624,2,train
625,2,train
626,3,test
627,4,test
628,1,train
629,3,train
630,2,train
631,0,train
632,4,train
633,0,validation
634,0,test
635,0,test
636,0,train
637,3,validation
638,2,train
639,0,train
640,4,train
641,2,train
642,0,train
643,0,train
644,0,test
645,0,train
646,4,train
647,0,train
648,1,train
649,0,train
650,2,train
651,0,test
652,0,train
653,2,train
654,0,train
655,0,train
656,0,train
657,4,train
658,2,train
659,4,validation
660,3,train
661,2,train
662,1,train
663,4,train
664,0,train
665,1,train
666,0,train
667,0,train
668,0,train
669,2,validation
670,3,test
671,4,test
672,1,train
673,0,train
674,1,validation
675,0,train
676,4,train
677,1,train
678,1,train
679,3,validation
680,1,train
681,4,train
682,2,train
683,4,train
684,0,train
685,3,validation
686,3,train
687,4,train
688,4,train
689,2,test
690,1,train
691,4,train
692,0,train
693,0,test
694,4,test
695,2,train
696,3,train
697,2,test
698,2,train
699,0,train
700,3,train
701,2,train
702,2,train
703,3,train
704,0,train
705,0,test
706,1,train
707,4,train
708,3,validation
709,1,train
710,1,test
711,0,test
712,4,train
713,0,train
714,1,train
715,2,train
716,0,validation
717,3,train
718,3,train
719,0,train
720,4,train
721,1,validation
722,4,train
723,0,test
724,2,train
725,1,train
726,4,test
727,3,validation
728,0,train
729,0,train
730,2,validation
731,2,train
732,2,train
733,4,train
734,0,train
735,3,train
736,0,train
737,0,train
738,0,test
739,0,train
740,4,train
741,0,train
742,2,train
743,3,train
744,1,validation
745,4,train
746,0,test
747,1,train
748,4,test
749,0,validation
750,4,train
751,1,train
752,0,test
753,4,train
754,4,train
755,0,train
756,4,train
757,3,train
758,1,test
759,0,train
760,3,train
761,2,validation
762,2,train
763,0,test
764,4,train
765,4,test
766,1,train
767,4,validation
768,0,test
769,0,train
770,0,train
771,1,train
772,2,train
773,0,train
774,3,train
775,4,train
776,2,test
777,4,train
778,1,train
779,0,train
780,3,train
781,3,train
782,0,train
783,2,train
784,2,validation
785,0,train
786,0,train
787,2,test
788,0,test
789,2,train
790,1,train
791,0,train
792,0,validation
793,1,validation
794,2,train
795,0,validation
796,1,train
797,3,train
798,3,train
799,1,train
800,3,test
801,0,train
802,3,validation
803,4,test
804,3,train
805,0,test
806,1,train
807,4,validation
808,4,train
809,1,train
810,0,train
811,3,validation
812,3,train
813,2,validation
814,2,train
815,0,train
816,2,test
817,4,train
818,4,train
819,1,train
820,0,train
821,4,train
822,4,train
823,0,train
824,2,train
825,1,train
826,2,validation
827,3,train
828,1,validation
829,4,validation
830,4,validation
831,2,train
832,1,train
833,1,test
834,1,train
835,0,test
836,2,train
837,2,train
838,2,train
839,4,train
840,0,train
841,4,train
842,4,train
843,2,train
844,4,test
845,1,test
846,4,train
847,0,train
848,4,train
849,3,train
850,3,validation
851,0,train
852,3,test
853,2,validation
854,3,train
855,3,train
856,2,train
857,3,train
858,0,train
859,4,test
860,3,test
861,4,test
862,2,train
863,3,train
864,0,train
865,4,train
866,4,train
867,2,train
868,0,test
869,1,train
870,3,train
871,4,train
872,4,train
873,2,train
874,1,test
875,0,train
876,2,train
877,0,test
878,2,train
879,0,validation
880,1,test
881,3,train
882,2,train
883,2,train
884,1,train
885,3,validation
886,0,train
887,4,train
888,3,train
889,2,train
890,1,test
891,3,train
892,0,train
893,3,train
894,4,validation
895,0,train
896,2,train
897,1,test
898,4,train
899,4,train
900,0,train
901,0,train
902,4,train
903,1,validation
904,0,train
905,0,validation
906,1,train
907,4,train
908,2,train
909,4,validation
910,0,validation
911,3,train
912,0,validation
913,0,test
914,2,train
915,3,test
916,2,train
917,0,train
918,3,train
919,1,test
920,0,train
921,4,test
922,1,train
923,2,train
924,3,train
925,0,validation
926,0,train
927,4,test
928,1,test
929,0,train
930,1,train
931,3,validation
932,0,train
933,0,train
934,1,train
935,0,validation
936,2,validation
937,1,validation
938,2,test
939,2,train
940,0,validation
941,2,test
942,1,train
943,4,train
944,2,test
945,2,validation
946,4,validation
947,1,train
948,2,train
949,2,train
950,0,train
951,0,train
952,0,train
953,4,train
954,3,test
955,3,train
956,3,train
957,1,train
958,2,validation
959,4,test
960,1,train
961,3,train
962,3,train
963,0,train
964,3,train
965,0,train
966,3,train
967,2,train
968,0,test
969,1,train
970,0,train
971,2,train
972,3,train
973,3,train
974,2,train
975,2,train
976,1,train
977,0,train
978,3,train
979,1,train
980,0,train
981,0,train
982,3,test
983,0,train
984,2,train
985,0,train
986,4,train
987,2,train
988,0,train
989,2,test
990,3,train
991,3,train
992,4,train
993,2,train
994,1,train
995,1,test
996,2,validation
997,0,train
998,1,train
999,3,train
1000,1,test
1001,0,test
1002,0,train
1003,4,train
1004,2,train
1005,2,test
1006,3,train
1007,3,train
1008,3,train
1009,2,train
1010,0,validation
1011,3,validation
1012,0,validation
1013,0,train
1014,4,test
1015,4,train
1016,1,train
1017,4,train
1018,0,train
1019,4,train
1020,0,validation
1021,1,train
1022,3,train
1023,2,train
1024,2,train
1025,4,train
1026,1,train
1027,0,train
1028,0,train
1029,1,train
1030,2,test
1031,4,train
1032,2,train
1033,2,test
1034,2,train
1035,1,train
1036,2,train
1037,1,validation
1038,3,validation
1039,1,train
1040,0,test
1041,2,train
1042,1,train
1043,2,train
1044,0,train
1045,2,train
1046,4,train
1047,3,train
1048,4,validation
1049,4,train
1050,4,train
1051,4,train
1052,0,train
1053,4,validation
1054,4,train
1055,2,test
1056,2,test
1057,1,test
1058,2,validation
1059,3,train
1060,1,train
1061,4,train
1062,2,test
1063,0,validation
1064,2,test
1065,2,test
1066,1,train
1067,0,train
1068,0,train
1069,3,train
1070,4,train
1071,2,train
1072,1,validation
1073,3,train
1074,0,test
1075,2,train
1076,1,validation
1077,3,train
1078,2,train
1079,4,train
1080,0,train
1081,1,validation
1082,2,train
1083,4,train
1084,0,train
1085,2,train
1086,4,train
1087,3,train
1088,2,validation
1089,0,train
1090,1,train
1091,1,train
1092,2,train
1093,0,train
1094,4,test
1095,0,train
1096,3,train
1097,1,train
1098,4,validation
1099,0,validation
1100,3,validation
1101,0,train
1102,2,train
1103,2,test
1104,0,train
1105,4,validation
1106,2,train
1107,0,train
1108,3,train
1109,2,train
1110,0,train
1111,0,test
1112,2,train
1113,3,train
1114,1,train
1115,4,train
1116,0,train
1117,0,test
1118,3,test
1119,0,train
1120,3,train
1121,0,test
1122,2,train
1123,0,train
1124,4,train
1125,1,train
1126,2,train
1127,1,test
1128,0,train
1129,2,validation
1130,1,train
1131,2,train
1132,3,train
1133,2,train
1134,4,train
1135,1,train
1136,4,train
1137,1,train
1138,4,train
1139,4,train
1140,3,train
1141,3,train
1142,1,train
1143,0,train
1144,3,train
1145,4,test
1146,0,train
1147,1,validation
1148,3,train
1149,3,train
1150,0,train
1151,4,train
1152,4,train
1153,4,train
1154,2,train
1155,0,train
1156,1,train
1157,2,train
1158,4,test
1159,3,test
1160,3,train
1161,1,train
1162,0,train
1163,0,train
1164,1,train
1165,3,validation
1166,0,train
1167,2,train
1168,4,test
1169,3,train
1170,1,train
1171,1,train
1172,2,train
1173,2,train
1174,0,train
1175,2,train
1176,3,train
1177,1,train
1178,4,train
1179,3,train
1180,3,validation
1181,2,test
1182,2,train
1183,0,validation
1184,0,train
1185,0,train
1186,4,train
1187,2,train
1188,0,train
1189,4,train
1190,2,train
1191,1,train
1192,4,train
1193,3,train
1194,2,train
1195,0,train
1196,0,test
1197,3,train
1198,2,train
1199,3,test
1200,0,train
1201,0,test
1202,3,validation
1203,3,validation
1204,2,test
1205,2,test
1206,1,train
1207,0,train
1208,3,validation
1209,1,train
1210,2,train
1211,2,train
1212,2,validation
1213,4,train
1214,4,train
1215,2,validation
1216,3,test
1217,4,test
1218,3,train
1219,3,test
1220,2,train
1221,0,validation
1222,4,train
1223,3,test
1224,0,train
1225,3,test
1226,0,train
1227,4,train
1228,0,train
1229,0,train
1230,2,train
1231,4,test
1232,2,train
1233,1,test
1234,3,train
1235,3,train
1236,3,validation
1237,1,train
1238,0,train
1239,2,train
1240,1,test
1241,3,validation
1242,2,test
1243,0,train
1244,3,test
1245,2,train
1246,3,train
1247,0,train
1248,1,train
1249,0,test
1250,1,test
1251,2,train
1252,4,train
1253,1,train
1254,3,train
1255,3,test
1256,2,test
1257,2,validation
1258,1,test
1259,4,train
1260,0,train
1261,4,train
1262,1,train
1263,2,train
1264,0,train
1265,1,train
1266,1,train
1267,2,test
1268,0,train
1269,0,train
1270,4,train
1271,2,validation
1272,2,train
1273,4,train
1274,3,train
1275,2,train
1276,0,validation
1277,1,train
1278,1,train
1279,4,train
1280,2,train
1281,3,test
1282,4,validation
1283,0,train
1284,3,train
1285,2,test
1286,3,train
1287,2,train
1288,4,validation
1289,0,train
1290,2,train
1291,3,train
1292,3,validation
1293,4,train
1294,3,train
1295,1,train
1296,2,train
1297,3,train
1298,1,train
1299,0,train
1300,4,train
1301,1,train
1302,1,train
1303,4,train
1304,4,train
1305,0,train
1306,4,train
1307,0,train
1308,3,train
1309,4,test
1310,4,test
1311,2,train
1312,0,train
1313,1,test
1314,2,train
1315,0,test
1316,0,train
1317,0,test
1318,0,train
1319,4,train
1320,2,train
1321,4,train
1322,3,test
1323,2,test
1324,2,train
1325,4,test
1326,0,train
1327,3,train
1328,3,train
1329,1,train
1330,0,train
1331,3,train
1332,0,test
1333,4,train
1334,4,train
1335,3,train
1336,4,train
1337,2,train
1338,2,train
1339,3,train
1340,2,test
1341,0,train
1342,2,train
1343,0,validation
1344,1,train
1345,1,train
1346,0,train
1347,4,train
1348,2,train
1349,2,train
1350,2,train
1351,4,train
1352,2,train
1353,4,train
1354,2,test
1355,0,validation
1356,2,train
1357,3,train
1358,4,validation
1359,2,train
1360,1,train
1361,0,test
1362,3,validation
1363,3,test
1364,2,train
1365,1,train
1366,4,train
1367,2,train
1368,3,train
1369,0,train
1370,2,train
1371,0,train
1372,2,validation
1373,4,train
1374,1,test
1375,3,validation
1376,3,train
1377,0,train
1378,1,train
1379,4,train
1380,0,train
1381,4,train
1382,3,train
1383,1,test
1384,2,train
1385,3,train
1386,1,train
1387,0,train
1388,1,train
1389,3,test
1390,2,validation
1391,3,validation
1392,4,validation
1393,2,train
1394,3,train
1395,2,train
1396,0,train
1397,1,train
1398,1,train
1399,1,test
1400,1,train
1401,3,validation
1402,0,train
1403,4,train
1404,0,train
1405,3,train
1406,2,test
1407,1,validation
1408,2,train
1409,2,train
1410,3,train
1411,3,train
1412,1,train
1413,3,train
1414,1,train
1415,0,train
1416,1,test
1417,4,train
1418,2,validation
1419,0,validation
1420,2,test
1421,3,test
1422,0,train
1423,2,train
1424,1,test
1425,0,train
1426,0,train
1427,3,train
1428,4,test
1429,3,train
1430,1,train
1431,0,train
1432,2,train
1433,1,test
1434,3,train
1435,1,train
1436,1,train
1437,2,train
1438,2,train
1439,4,test
1440,0,train
1441,1,train
1442,3,train
1443,1,train
1444,0,train
1445,3,validation
1446,2,train
1447,2,test
1448,2,train
1449,3,train
1450,4,train
1451,1,validation
1452,1,train
1453,3,train
1454,2,test
1455,3,train
1456,2,train
1457,3,validation
1458,3,train
1459,0,train
1460,3,train
1461,2,validation
1462,2,train
1463,4,train
1464,1,train
1465,2,train
1466,1,train
1467,4,validation
1468,4,train
1469,3,train
1470,4,train
1471,0,test
1472,0,train
1473,4,validation
1474,4,test
1475,1,train
1476,4,train
1477,3,train
1478,2,validation
1479,4,validation
1480,0,train
1481,1,train
1482,4,train
1483,2,validation
1484,3,train
1485,0,train
1486,3,train
1487,0,train
1488,1,train
1489,3,test
1490,0,train
1491,3,train
1492,0,test
1493,3,train
1494,1,validation
1495,3,test
1496,0,validation
1497,1,train
1498,1,train
1499,2,train
1500,4,validation
1501,3,validation
1502,4,train
1503,2,validation
1504,3,train
1505,0,train
1506,0,train
1507,0,test
1508,0,train
1509,3,train
1510,4,train
1511,3,train
1512,0,validation
1513,2,train
1514,0,validation
1515,3,train
1516,0,train
1517,0,train
1518,4,train
1519,4,train
1520,2,validation
1521,0,train
1522,0,train
1523,1,train
1524,2,validation
1525,2,train
1526,3,train
1527,3,train
1528,3,train
1529,3,train
1530,3,train
1531,1,train
1532,0,test
1533,4,validation
1534,2,train
1535,1,train
1536,1,train
1537,2,validation
1538,2,train
1539,0,test
1540,4,test
1541,2,train
1542,2,validation
1543,2,test
1544,4,train
1545,4,train
1546,4,train
1547,2,train
1548,2,test
1549,4,train
1550,4,validation
1551,2,train
1552,1,train
1553,4,train
1554,3,train
1555,4,validation
1556,0,test
1557,0,test
1558,3,train
1559,0,train
1560,1,train
1561,1,train
1562,1,train
1563,0,validation
1564,2,train
1565,1,validation
1566,2,train
1567,3,train
1568,1,train
1569,4,validation
1570,1,train
1571,2,train
1572,2,train
1573,1,train
1574,2,validation
1575,3,train
1576,2,test
1577,0,train
1578,4,test
1579,4,test
1580,0,validation
1581,3,test
1582,2,train
1583,1,train
1584,0,test
1585,2,train
1586,0,train
1587,2,train
1588,3,train
1589,1,test
1590,2,test
1591,2,train
1592,0,train
1593,0,train
1594,2,train
1595,1,train
1596,0,train
1597,3,train
1598,3,train
1599,1,test
1600,0,validation
1601,2,train
1602,1,train
1603,2,validation
1604,4,train
1605,0,train
1606,4,train
1607,1,train
1608,1,train
1609,2,train
1610,3,train
1611,4,train
1612,3,train
1613,0,train
1614,2,train
1615,0,test
1616,2,test
1617,2,test
1618,1,train
1619,2,train
1620,4,train
1621,4,validation
1622,0,test
1623,3,test
1624,2,train
1625,3,train
1626,0,test
1627,4,train
1628,1,train
1629,4,train
1630,1,train
1631,0,train
1632,2,validation
1633,2,train
1634,0,train
1635,1,train
1636,2,train
1637,3,train
1638,1,train
1639,4,train
1640,1,validation
1641,4,train
1642,3,train
1643,2,test
1644,2,train
1645,4,train
1646,2,test
1647,3,train
1648,2,test
1649,1,train
1650,4,train
1651,1,train
1652,0,train
1653,4,train
1654,4,train
1655,0,validation
1656,2,train
1657,1,train
1658,4,train
1659,2,train
1660,1,train
1661,2,train
1662,1,train
1663,0,train
1664,3,train
1665,1,train
1666,0,train
1667,2,train
1668,1,validation
1669,3,train
1670,0,train
1671,2,train
1672,3,train
1673,1,train
1674,3,train
1675,4,test
1676,2,train
1677,4,validation
1678,4,train
1679,0,validation
1680,3,train
1681,0,train
1682,0,train
1683,1,train
1684,3,train
1685,2,train
1686,3,train
1687,0,validation
1688,2,train
1689,2,train
1690,2,train
1691,3,validation
1692,2,train
1693,3,train
1694,4,test
1695,4,train
1696,4,train
1697,3,train
1698,4,validation
1699,3,train
1700,2,test
1701,0,validation
1702,4,train
1703,4,train
1704,1,train
1705,1,train
1706,2,train
1707,0,test
1708,4,train
1709,2,train
1710,1,test
1711,0,train
1712,3,train
1713,2,test
1714,4,train
1715,2,validation
1716,3,train
1717,4,train
1718,1,test
1719,4,train
1720,1,train
1721,1,train
1722,1,train
1723,4,train
1724,4,train
1725,4,train
1726,1,train
1727,3,train
1728,0,train
1729,4,train
1730,2,train
1731,0,validation
1732,2,train
1733,0,train
1734,4,validation
1735,3,train
1736,0,train
1737,1,train
1738,2,train
1739,4,train
1740,0,train
1741,0,train
1742,0,train
1743,1,validation
1744,3,train
1745,3,test
1746,0,train
1747,0,train
1748,0,train
1749,0,test
1750,1,train
1751,1,test
1752,3,train
1753,0,train
1754,0,train
1755,2,validation
1756,2,validation
1757,1,test
1758,0,train
1759,2,train
1760,4,validation
1761,2,train
1762,1,train
1763,3,train
1764,0,train
1765,0,train
1766,1,validation
1767,4,train
1768,0,train
1769,4,train
1770,0,train
1771,1,test
1772,3,train
1773,2,train
1774,4,train
1775,1,test
1776,1,train
1777,3,train
1778,0,test
1779,3,train
1780,1,train
1781,1,validation
1782,0,train
1783,4,validation
1784,0,train
1785,1,validation
1786,0,validation
1787,2,train
1788,0,train
1789,0,train
1790,2,test
1791,1,train
1792,2,train
1793,1,validation
1794,3,train
1795,0,test
1796,1,validation
1797,1,train
1798,1,train
1799,2,test
1800,3,train
1801,0,train
1802,1,train
1803,0,train
1804,1,train
1805,1,train
1806,3,validation
1807,3,validation
1808,1,train
1809,0,train
1810,3,train
1811,3,train
1812,0,train
1813,4,validation
1814,3,train
1815,3,train
1816,4,train
1817,0,train
1818,3,train
1819,2,test
1820,1,train
1821,0,train
1822,4,validation
1823,3,train
1824,4,train
1825,0,train
1826,2,train
1827,1,train
1828,3,validation
1829,1,train
1830,0,train
1831,0,train
1832,0,train
1833,1,train
1834,0,train
1835,3,train
1836,0,train
1837,3,train
1838,2,test
1839,1,train
1840,2,train
1841,0,test
1842,0,test
1843,0,train
1844,1,validation
1845,0,train
1846,0,validation
1847,4,train
1848,0,test
1849,0,validation
1850,4,train
1851,2,train
1852,0,test
1853,3,train
1854,1,validation
1855,1,train
1856,0,train
1857,2,train
1858,4,validation
1859,1,validation
1860,4,test
1861,1,validation
1862,1,validation
1863,4,validation
1864,3,train
1865,0,validation
1866,4,test
1867,2,test
1868,2,train
1869,1,test
1870,3,test
1871,3,validation
1872,3,test
1873,3,train
1874,4,train
1875,0,train
1876,4,train
1877,3,train
1878,4,train
1879,1,validation
1880,2,train
1881,0,train
1882,2,train
1883,1,train
1884,2,train
1885,2,train
1886,3,train
1887,0,validation
1888,0,train
1889,2,train
1890,1,validation
1891,1,train
1892,3,train
1893,3,train
1894,4,test
1895,0,train
1896,0,train
1897,0,train
1898,2,train
1899,3,train
1900,2,train
1901,0,validation
1902,0,test
1903,2,train
1904,0,train
1905,4,train
1906,0,validation
1907,0,validation
1908,1,test
1909,1,train
1910,0,test
1911,1,train
1912,1,test
1913,0,train
1914,4,validation
1915,2,train
1916,3,validation
1917,0,train
1918,3,test
1919,0,train
1920,4,test
1921,0,train
1922,3,train
1923,2,validation
1924,3,train
1925,4,train
1926,3,train
1927,2,train
1928,0,train
1929,1,test
1930,0,train
1931,2,validation
1932,2,train
1933,1,train
1934,2,train
1935,3,train
1936,2,train
1937,2,train
1938,1,validation
1939,0,train
1940,2,train
1941,2,train
1942,4,validation
1943,0,test
1944,2,train
1945,4,validation
1946,1,train
1947,3,train
1948,1,test
1949,1,train
1950,3,validation
1951,2,validation
1952,0,train
1953,3,train
1954,1,train
1955,4,train
1956,1,train
1957,3,validation
1958,2,train
1959,4,train
1960,0,train
1961,2,train
1962,2,validation
1963,0,train
1964,1,train
1965,3,train
1966,4,validation
1967,4,test
1968,2,test
1969,4,train
1970,0,validation
1971,0,validation
1972,0,train
1973,2,train
1974,2,test
1975,3,validation
1976,2,train
1977,0,test
1978,2,validation
1979,3,train
1980,1,train
1981,3,train
1982,4,train
1983,1,train
1984,0,test
1985,3,train
1986,4,train
1987,2,train
1988,2,train
1989,0,train
1990,1,train
1991,4,train
1992,0,train
1993,2,train
1994,3,validation
1995,1,train
1996,3,train
1997,2,train
1998,2,train
1999,3,train
2000,3,train
2001,0,train
2002,1,train
2003,4,train
2004,2,train
2005,2,validation
2006,0,validation
2007,3,validation
2008,1,train
2009,2,train
2010,1,train
2011,0,train
2012,2,train
2013,2,test
2014,4,train
2015,4,train
2016,3,train
2017,1,test
2018,0,test
2019,4,train
2020,3,validation
2021,1,train
2022,0,train
2023,1,train
2024,3,train
2025,3,test
2026,3,train
2027,4,train
2028,0,train
2029,4,train
2030,2,train
2031,0,train
2032,3,train
2033,0,test
2034,4,train
2035,0,train
2036,4,train
2037,2,train
2038,2,train
2039,1,validation
2040,0,test
2041,3,validation
2042,4,validation
2043,0,test
2044,0,train
2045,4,validation
2046,3,test
2047,1,validation
2048,0,train
2049,0,validation
2050,3,train
2051,2,train
2052,0,validation
2053,0,test
2054,3,train
2055,3,train
2056,1,train
2057,4,test
2058,2,train
2059,0,train
2060,3,test
2061,3,validation
2062,2,train
2063,4,train
2064,0,train
2065,2,train
2066,4,train
2067,1,train
2068,3,validation
2069,2,test
2070,0,train
2071,3,test
2072,0,train
2073,2,train
2074,0,train
2075,2,train
2076,4,train
2077,0,train
2078,1,test
2079,0,train
2080,0,train
2081,0,train
2082,2,train
2083,0,test
2084,3,train
2085,1,train
2086,0,train
2087,4,train
2088,3,validation
2089,3,train
2090,3,validation
2091,0,train
2092,0,train
2093,0,test
2094,0,train
2095,4,train
2096,2,train
2097,0,train
2098,0,train
2099,0,train
