index,real,predicha,clase_real,clase_predicha,confianza,p_dandelion,p_daisy,p_tulips,p_sunflowers,p_roses
169,2,4,tulips,roses,0.5940251,2.5605869e-09,2.665036e-05,0.2602221,0.14572622,0.5940251
173,3,3,sunflowers,sunflowers,0.9950906,9.38214e-06,0.0049,2.3799702e-11,0.9950906,1.1324316e-13
177,2,2,tulips,tulips,0.9979709,2.2803167e-11,4.119441e-09,0.9979709,1.1836599e-12,0.0020290774
181,3,3,sunflowers,sunflowers,0.9485116,1.5673696e-06,0.051483907,1.696468e-07,0.9485116,2.7339347e-06
200,4,4,roses,roses,1.0,6.3414576e-19,6.717525e-16,3.9206512e-13,1.6774363e-20,1.0
205,0,0,dandelion,dandelion,0.99998415,0.99998415,1.262594e-05,3.8002355e-08,3.1244776e-06,5.663358e-09
237,1,1,daisy,daisy,1.0,1.2026804e-12,1.0,5.8790975e-17,4.734344e-09,2.471909e-16
240,1,1,daisy,daisy,0.99960095,0.0003347584,0.99960095,6.0154285e-05,4.24963e-06,5.428726e-09
247,4,2,roses,tulips,0.7469013,8.354961e-09,6.323525e-07,0.7469013,1.6090746e-06,0.25309655
249,0,0,dandelion,dandelion,1.0,1.0,1.3253315e-10,1.12116195e-13,5.040264e-11,2.2854717e-15
250,1,1,daisy,daisy,1.0,5.986998e-09,1.0,2.5469521e-17,2.6213852e-08,1.3746283e-16
261,4,4,roses,roses,0.9992176,1.5780081e-10,2.2667348e-06,0.00078007916,9.432518e-11,0.9992176
263,3,3,sunflowers,sunflowers,1.0,3.0220484e-21,1.5528213e-18,9.787814e-25,1.0,1.31913985e-33
268,0,1,dandelion,daisy,0.9990085,0.00070258696,0.9990085,3.0594925e-05,0.00025826893,2.8386667e-08
279,3,3,sunflowers,sunflowers,0.99986756,1.8896111e-07,1.039294e-06,0.00010288733,0.99986756,2.8379765e-05
281,2,2,tulips,tulips,0.87271905,8.582554e-08,4.4309545e-06,0.87271905,0.0065934584,0.12068299
291,0,0,dandelion,dandelion,0.9255117,0.9255117,0.00033954982,0.019815298,0.0391539,0.015179468
349,2,2,tulips,tulips,0.619333,0.15170541,0.007276969,0.619333,0.16311932,0.058565333
354,4,4,roses,roses,0.9926939,1.7955631e-07,0.00090249063,0.006403369,5.9687486e-09,0.9926939
361,0,0,dandelion,dandelion,1.0,1.0,1.3175426e-15,3.1170914e-18,4.273288e-14,2.4358027e-18
363,4,4,roses,roses,1.0,3.045743e-26,9.330542e-27,8.570114e-15,1.5006099e-24,1.0
380,4,4,roses,roses,0.9954684,6.013308e-12,4.3585573e-05,0.0044879843,3.658248e-09,0.9954684
382,3,3,sunflowers,sunflowers,0.9979359,1.0313634e-07,0.0020640139,5.0913374e-10,0.9979359,3.8382866e-10
386,0,0,dandelion,dandelion,1.0,1.0,5.519206e-20,4.1623151e-22,1.3089517e-14,5.0982526e-24
388,3,3,sunflowers,sunflowers,0.99992704,1.0446391e-05,1.0339147e-06,6.151424e-05,0.99992704,5.6316567e-13
399,0,0,dandelion,dandelion,0.9999815,0.9999815,1.8421393e-05,5.020791e-14,6.303168e-10,3.1418065e-13
408,3,3,sunflowers,sunflowers,0.8784151,3.7630987e-06,5.337819e-07,0.11234332,0.8784151,0.009237199
419,2,2,tulips,tulips,0.9999716,4.36996e-07,8.5772035e-06,0.9999716,5.1010097e-06,1.4127008e-05
420,2,2,tulips,tulips,1.0,2.0167124e-09,8.094199e-09,1.0,5.9502385e-09,4.9282495e-08
424,4,4,roses,roses,0.99309206,3.0318154e-06,3.0242281e-05,0.001254538,0.0056200903,0.99309206
448,1,1,daisy,daisy,0.99999964,1.3849704e-07,0.99999964,9.280788e-12,2.559016e-07,5.0469646e-12
456,3,3,sunflowers,sunflowers,1.0,6.2925483e-09,2.0628374e-16,1.0775487e-21,1.0,2.8274336e-19
474,4,4,roses,roses,0.9999999,7.9148854e-10,9.623637e-09,1.1357993e-07,2.0884028e-13,0.9999999
489,0,0,dandelion,dandelion,0.99921274,0.99921274,0.00075902836,4.1386102e-07,2.780276e-05,4.0735088e-08
490,4,4,roses,roses,0.8414503,2.787006e-10,9.5288145e-11,0.15854971,8.98014e-14,0.8414503
494,0,4,dandelion,roses,0.74484086,0.22986509,0.014432859,0.0020470244,0.008814102,0.74484086
495,4,1,roses,daisy,0.5469532,0.012585422,0.5469532,0.09864988,7.282488e-05,0.34173867
497,0,1,dandelion,daisy,0.48909494,0.42459014,0.48909494,0.085005164,0.0008657463,0.00044400626
505,4,4,roses,roses,0.9920534,1.5678455e-13,4.28139e-10,0.007946643,2.4232073e-11,0.9920534
510,0,0,dandelion,dandelion,1.0,1.0,4.962879e-11,3.055839e-11,5.3895673e-12,1.05452275e-13
512,1,1,daisy,daisy,0.99971944,5.3851096e-07,0.99971944,2.159136e-08,0.0002799798,2.6103717e-09
520,0,0,dandelion,dandelion,0.9194819,0.9194819,5.988154e-05,0.08037779,4.341701e-05,3.7054393e-05
527,2,2,tulips,tulips,0.99999964,2.5628512e-14,8.176836e-14,0.99999964,7.548919e-14,3.1679286e-07
532,0,0,dandelion,dandelion,0.9999982,0.9999982,2.463844e-10,1.4223656e-12,1.7769369e-06,1.052712e-17
543,3,3,sunflowers,sunflowers,0.9998411,3.9769535e-10,0.0001588472,5.897941e-13,0.9998411,7.536132e-13
550,2,2,tulips,tulips,0.32769716,0.31228545,0.18971866,0.32769716,6.2197637e-06,0.17029254
566,3,3,sunflowers,sunflowers,1.0,7.305135e-10,9.354466e-10,5.310037e-09,1.0,6.1586285e-11
567,1,1,daisy,daisy,0.9874873,0.01248546,0.9874873,2.6150292e-05,2.9757413e-07,7.534986e-07
570,0,0,dandelion,dandelion,1.0,1.0,4.3136334e-15,1.3330133e-21,5.4175304e-15,2.4099019e-21
582,0,0,dandelion,dandelion,0.999977,0.999977,1.2230806e-06,1.5219591e-05,6.3249445e-06,2.7805055e-07
583,0,3,dandelion,sunflowers,0.7507249,0.24099173,0.0075948904,0.0006694112,0.7507249,1.8989627e-05
589,0,0,dandelion,dandelion,1.0,1.0,1.6559568e-08,2.385384e-11,4.718446e-11,1.2868703e-10
599,1,1,daisy,daisy,1.0,1.7525276e-13,1.0,3.5099937e-17,2.1743023e-09,5.677409e-17
604,2,2,tulips,tulips,0.99985254,3.5304557e-10,8.707616e-10,0.99985254,4.8525e-11,0.00014743964
605,3,0,sunflowers,dandelion,0.5237282,0.5237282,2.0672082e-05,0.00013281792,0.47611699,1.3006069e-06
606,3,3,sunflowers,sunflowers,0.96166503,0.0006157382,0.037718706,4.5900012e-07,0.96166503,2.4217602e-08
622,2,2,tulips,tulips,0.9999993,2.6790613e-07,4.6454673e-07,0.9999993,2.6000114e-08,1.0683963e-09
626,3,3,sunflowers,sunflowers,0.9999645,1.3902803e-10,4.7119497e-06,1.1842298e-08,0.9999645,3.0764422e-05
627,4,4,roses,roses,0.99999964,3.580091e-19,3.5634155e-18,3.1027173e-07,5.40648e-16,0.99999964
634,0,0,dandelion,dandelion,0.99997437,0.99997437,1.9903682e-05,4.8963375e-06,6.5019503e-07,6.4390186e-08
635,0,0,dandelion,dandelion,1.0,1.0,4.0129869e-19,2.1744492e-15,1.2060377e-14,2.9822227e-18
644,0,0,dandelion,dandelion,0.88556534,0.88556534,0.07325205,0.041105468,9.7300654e-11,7.703146e-05
651,0,0,dandelion,dandelion,0.99940586,0.99940586,0.00046217957,0.00012029363,5.22298e-06,6.487074e-06
670,3,3,sunflowers,sunflowers,0.9925021,7.1009896e-07,3.149327e-05,0.0058274115,0.9925021,0.0016382588
671,4,4,roses,roses,0.70803994,2.3740282e-07,1.2359492e-05,0.2916793,0.0002681033,0.70803994
689,2,2,tulips,tulips,1.0,4.913784e-16,3.4153097e-14,1.0,1.2701881e-10,9.78289e-13
693,0,0,dandelion,dandelion,0.99973947,0.99973947,0.00024160571,7.28892e-06,1.1319378e-05,4.0592496e-07
694,4,2,roses,tulips,0.63044906,6.936811e-05,0.0056100604,0.63044906,1.1315643e-05,0.3638602
697,2,2,tulips,tulips,0.99985707,1.0314519e-12,2.0433855e-10,0.99985707,5.441673e-05,8.844407e-05
705,0,2,dandelion,tulips,0.8350247,0.003018981,0.00014643947,0.8350247,0.11760996,0.04419983
710,1,1,daisy,daisy,0.9887094,0.011290305,0.9887094,6.195615e-13,3.1057044e-07,2.9942513e-12
711,0,0,dandelion,dandelion,0.99999547,0.99999547,2.7230986e-09,2.104372e-09,4.046693e-09,4.57831e-06
723,0,0,dandelion,dandelion,1.0,1.0,1.3142739e-16,3.6259732e-14,8.881915e-15,2.870987e-17
726,4,4,roses,roses,0.88612616,2.8257185e-07,0.00032199387,0.11355152,2.9123303e-08,0.88612616
738,0,0,dandelion,dandelion,0.99999785,0.99999785,1.7344514e-06,4.608725e-09,3.03401e-07,5.074933e-11
746,0,0,dandelion,dandelion,1.0,1.0,5.180553e-13,6.123503e-14,4.368402e-12,7.250559e-16
748,4,2,roses,tulips,0.91679007,2.37607e-06,0.00023897552,0.91679007,0.081222124,0.0017464968
752,0,0,dandelion,dandelion,1.0,1.0,8.296211e-15,6.6764865e-19,4.766856e-16,1.4338906e-19
758,1,1,daisy,daisy,1.0,1.4175135e-10,1.0,8.0322717e-19,4.4706144e-12,1.6172622e-17
763,0,0,dandelion,dandelion,0.99999976,0.99999976,2.5122552e-07,1.02028205e-10,1.9153207e-11,1.14194475e-14
765,4,4,roses,roses,1.0,1.0913529e-14,2.7517422e-14,3.1043017e-09,1.7225745e-14,1.0
768,0,0,dandelion,dandelion,0.99991477,0.99991477,8.455055e-07,1.05216695e-05,7.0744216e-05,3.043418e-06
776,2,4,tulips,roses,0.5032683,0.0017024964,3.157765e-11,0.49481514,0.00021409297,0.5032683
787,2,2,tulips,tulips,0.99906915,1.1813813e-08,1.05868295e-07,0.99906915,0.0005471223,0.00038367286
788,0,3,dandelion,sunflowers,0.8789852,0.01442296,0.102495186,0.0017687135,0.8789852,0.002327833
800,3,3,sunflowers,sunflowers,0.9453214,1.18983285e-08,2.8414646e-11,0.05467783,0.9453214,8.121852e-07
803,4,4,roses,roses,0.999483,1.077077e-15,9.335827e-12,0.00051697425,1.0202008e-09,0.999483
805,0,0,dandelion,dandelion,0.9998497,0.9998497,5.5065648e-05,3.7897385e-05,5.7229787e-05,1.2020007e-07
816,2,2,tulips,tulips,0.9999747,2.2352549e-11,6.491902e-11,0.9999747,3.4944367e-08,2.5221067e-05
833,1,1,daisy,daisy,1.0,8.94728e-14,1.0,5.5469044e-18,1.3773088e-11,2.1540433e-20
835,0,0,dandelion,dandelion,0.9999999,0.9999999,6.22383e-09,1.2040442e-11,1.1879396e-07,3.1485878e-14
844,4,4,roses,roses,0.98445475,1.01307755e-07,4.0295945e-06,0.015540733,3.9529684e-07,0.98445475
845,1,3,daisy,sunflowers,0.967682,2.8212462e-11,0.032317866,1.0890886e-07,0.967682,2.1147199e-12
852,3,3,sunflowers,sunflowers,0.999969,4.875935e-06,2.5112196e-05,9.0727747e-07,0.999969,2.8111652e-08
859,4,4,roses,roses,0.7615786,1.325248e-10,4.2080228e-05,0.23837928,2.6627978e-08,0.7615786
860,3,3,sunflowers,sunflowers,0.98436457,0.000720321,7.5125405e-05,0.004740607,0.98436457,0.010099281
861,4,4,roses,roses,0.99958557,9.86577e-08,2.2239513e-07,0.0003540708,6.005036e-05,0.99958557
868,0,0,dandelion,dandelion,1.0,1.0,2.4797256e-11,8.028305e-15,1.6689699e-12,3.7483056e-16
874,1,1,daisy,daisy,0.7253752,0.06468132,0.7253752,1.3441093e-05,0.19498032,0.014949711
877,0,0,dandelion,dandelion,0.850846,0.850846,0.0093863,0.00079825183,0.13797455,0.000994909
880,1,1,daisy,daisy,0.9999982,6.4947325e-10,0.9999982,1.8141008e-09,1.7268038e-06,1.3753565e-10
890,1,1,daisy,daisy,1.0,4.6596432e-18,1.0,2.340259e-15,4.9417945e-08,6.855839e-18
897,1,1,daisy,daisy,0.9999943,5.3250556e-06,0.9999943,3.3467873e-10,3.393323e-07,8.134213e-11
913,0,0,dandelion,dandelion,0.9987832,0.9987832,0.00047896366,5.7226366e-08,0.0007377629,3.3096207e-08
915,3,3,sunflowers,sunflowers,0.9963799,0.0035397792,7.952997e-05,1.0195223e-07,0.9963799,7.151702e-07
919,1,1,daisy,daisy,0.9926479,0.00071626145,0.9926479,6.926382e-05,0.006542993,2.3690642e-05
921,4,4,roses,roses,0.99981016,2.1111612e-09,1.1162155e-08,0.00018986489,3.0591995e-08,0.99981016
927,4,4,roses,roses,0.99973804,3.521751e-07,0.00022865161,3.2902524e-05,5.8387197e-09,0.99973804
928,1,1,daisy,daisy,0.99988365,2.1961696e-07,0.99988365,9.92923e-05,1.6840353e-05,2.4003701e-09
938,2,2,tulips,tulips,0.95296067,1.3593317e-08,1.998134e-06,0.95296067,0.034933195,0.012104085
941,2,2,tulips,tulips,0.9976059,8.193593e-05,1.1968935e-05,0.9976059,4.937287e-07,0.0022996175
944,2,2,tulips,tulips,0.99980897,7.2712036e-09,2.136283e-07,0.99980897,2.3421835e-07,0.00019060523
954,3,3,sunflowers,sunflowers,0.878031,0.00032056202,0.121648416,4.420023e-08,0.878031,3.2350165e-08
959,4,2,roses,tulips,0.7789652,8.17635e-06,4.674778e-05,0.7789652,0.08157459,0.13940533
968,0,0,dandelion,dandelion,0.99999547,0.99999547,1.2484572e-06,1.040453e-09,3.285281e-06,3.1191223e-11
982,3,3,sunflowers,sunflowers,1.0,7.74868e-17,6.98359e-12,4.9794073e-18,1.0,1.0836503e-27
989,2,2,tulips,tulips,1.0,2.644691e-13,1.8248872e-12,1.0,7.0634546e-13,5.936572e-11
995,1,1,daisy,daisy,0.67831475,2.3534697e-06,0.67831475,5.0461017e-11,0.3216829,1.3129401e-13
1000,1,0,daisy,dandelion,0.9997185,0.9997185,0.00028148285,6.293333e-13,1.8719877e-09,1.0904252e-15
1001,0,0,dandelion,dandelion,0.99997926,0.99997926,1.6302964e-08,2.7988728e-08,2.0673871e-05,3.2746236e-08
1005,2,2,tulips,tulips,0.9999999,7.7484213e-11,1.1019826e-07,0.9999999,2.3860881e-08,1.4399905e-09
1014,4,4,roses,roses,0.7815372,1.7335434e-10,4.4907718e-09,0.21846281,1.7810097e-08,0.7815372
1030,2,2,tulips,tulips,1.0,1.3302166e-14,7.7639035e-13,1.0,1.4751803e-12,2.218698e-08
1033,2,2,tulips,tulips,0.99524647,1.2683365e-05,0.00037920623,0.99524647,8.565404e-08,0.004361548
1040,0,0,dandelion,dandelion,1.0,1.0,8.83764e-15,2.519556e-17,1.6712658e-13,6.715853e-18
1055,2,2,tulips,tulips,0.98286486,0.00022349031,0.000404862,0.98286486,0.005565152,0.01094159
1056,2,2,tulips,tulips,0.6949515,0.0022506907,2.6659154e-05,0.6949515,0.010703696,0.29206753
1057,1,1,daisy,daisy,1.0,2.7056586e-09,1.0,6.2054836e-12,1.4449934e-08,1.2962256e-15
1062,2,2,tulips,tulips,0.99997103,3.9329144e-11,4.192159e-11,0.99997103,5.58682e-09,2.8981305e-05
1064,2,2,tulips,tulips,0.9998894,9.92372e-07,1.182001e-09,0.9998894,1.9558975e-05,9.0163e-05
1065,2,2,tulips,tulips,0.8434396,1.8591343e-05,3.7704078e-05,0.8434396,0.0017721453,0.15473202
1074,0,0,dandelion,dandelion,0.9999987,0.9999987,1.352024e-06,1.7561617e-10,2.0353115e-10,9.905822e-10
1094,4,4,roses,roses,0.9951651,6.775839e-06,1.33097765e-05,0.0034382867,0.001376506,0.9951651
1103,2,2,tulips,tulips,0.99988186,7.570083e-12,1.312733e-13,0.99988186,2.6493605e-10,0.000118081
1111,0,0,dandelion,dandelion,0.9999695,0.9999695,8.2117356e-07,5.11364e-07,2.9114064e-05,3.1988147e-12
1117,0,0,dandelion,dandelion,0.999998,0.999998,1.9687395e-06,6.4235776e-16,2.472806e-11,9.052439e-17
1118,3,3,sunflowers,sunflowers,0.83302075,0.0006442579,0.0048828125,0.004912765,0.83302075,0.15653944
1121,0,0,dandelion,dandelion,0.99978524,0.99978524,0.00021246831,1.0176215e-06,1.0259912e-06,2.595448e-07
1127,1,1,daisy,daisy,0.9998018,1.0718231e-11,0.9998018,0.00019807386,1.5022438e-07,3.0813079e-09
1145,4,4,roses,roses,0.9982796,3.2909366e-11,1.8745738e-09,0.0017204602,1.2237094e-09,0.9982796
1158,4,4,roses,roses,0.9380974,6.9156345e-06,5.285483e-06,0.06182554,6.4766406e-05,0.9380974
1159,3,3,sunflowers,sunflowers,0.99842453,3.970096e-08,0.0015731647,3.9169148e-10,0.99842453,2.2923946e-06
1168,4,4,roses,roses,0.99999964,2.1724645e-17,6.610124e-16,3.304719e-07,9.462159e-19,0.99999964
1181,2,4,tulips,roses,0.95285654,1.845725e-12,7.408488e-10,0.047143444,2.7588337e-15,0.95285654
1196,0,0,dandelion,dandelion,1.0,1.0,3.0267205e-10,4.2495867e-14,3.4842023e-12,2.331329e-13
1199,3,3,sunflowers,sunflowers,0.9999739,1.6417516e-05,9.678219e-06,2.0530702e-11,0.9999739,9.595636e-13
1201,0,0,dandelion,dandelion,0.5874904,0.5874904,0.39903638,0.0036151865,0.009671282,0.00018678293
1204,2,2,tulips,tulips,0.58636206,0.00023629081,0.00015953311,0.58636206,7.592952e-05,0.41316617
1205,2,4,tulips,roses,0.5063389,4.493306e-06,0.0007045434,0.492952,2.2973076e-08,0.5063389
1216,3,3,sunflowers,sunflowers,1.0,4.685287e-09,6.203422e-09,1.643914e-11,1.0,1.0473395e-15
1217,4,4,roses,roses,0.9975731,3.154531e-08,5.2712375e-07,0.0024263759,7.1810646e-10,0.9975731
1219,3,3,sunflowers,sunflowers,0.8326238,0.0025161842,0.16449346,9.369263e-05,0.8326238,0.00027281654
1223,3,3,sunflowers,sunflowers,0.9999833,9.8839e-08,1.6610073e-05,6.914483e-09,0.9999833,7.2647084e-09
1225,3,3,sunflowers,sunflowers,1.0,8.954881e-13,5.798114e-10,1.1454996e-16,1.0,7.3231256e-19
1231,4,2,roses,tulips,0.8129602,3.716721e-07,8.3789075e-07,0.8129602,0.035363577,0.15167506
1233,1,1,daisy,daisy,0.9817488,0.016738234,0.9817488,5.73658e-05,0.0014379297,1.7514527e-05
1240,1,0,daisy,dandelion,0.9999887,0.9999887,9.918957e-06,1.5530394e-12,1.463585e-06,6.6140973e-13
1242,2,2,tulips,tulips,0.99993443,1.4239017e-05,3.0962874e-05,0.99993443,1.1935413e-08,2.0383266e-05
1244,3,4,sunflowers,roses,0.95786107,0.014506548,0.0070724795,0.0002161294,0.020343823,0.95786107
1249,0,0,dandelion,dandelion,1.0,1.0,4.71945e-09,3.334229e-10,5.3380234e-09,1.2258979e-09
1250,1,1,daisy,daisy,1.0,6.599881e-13,1.0,2.7157866e-13,5.8389903e-13,1.2599516e-19
1255,3,3,sunflowers,sunflowers,0.9990081,3.2495704e-05,9.254344e-08,0.0009576361,0.9990081,1.6346389e-06
1256,2,2,tulips,tulips,0.99999833,1.0583547e-07,4.1702883e-10,0.99999833,4.391132e-07,1.0393348e-06
1258,1,1,daisy,daisy,0.9995795,1.3682658e-06,0.9995795,0.00040729158,1.1715888e-05,1.9037084e-07
1267,2,2,tulips,tulips,1.0,4.3959064e-17,1.859607e-15,1.0,4.2202943e-12,2.183451e-15
1281,3,3,sunflowers,sunflowers,0.9997769,2.6442222e-09,0.00012787462,9.508202e-05,0.9997769,6.7320855e-08
1285,2,2,tulips,tulips,0.99989974,4.681769e-10,6.0744073e-06,0.99989974,1.2574797e-06,9.281045e-05
1309,4,4,roses,roses,1.0,3.8912414e-19,2.6857494e-17,1.326142e-08,8.2695145e-22,1.0
1310,4,4,roses,roses,0.99999774,1.4806633e-11,9.922556e-12,2.2147758e-06,4.1815362e-08,0.99999774
1313,1,1,daisy,daisy,0.99199355,0.006814309,0.99199355,1.5687557e-06,0.0011904842,8.728422e-08
1315,0,2,dandelion,tulips,0.50104773,0.45958778,0.0024067794,0.50104773,0.036826093,0.00013156446
1317,0,4,dandelion,roses,0.926946,0.0058353767,0.05551712,0.010740344,0.00096116064,0.926946
1322,3,3,sunflowers,sunflowers,0.99999964,1.7329686e-13,7.342535e-08,2.892881e-07,0.99999964,5.623471e-08
1323,2,2,tulips,tulips,0.7236656,2.5377236e-05,0.0029019066,0.7236656,0.00092599686,0.27248105
1325,4,4,roses,roses,0.6365023,0.021099444,0.34153968,0.00039432268,0.0004642702,0.6365023
1332,0,0,dandelion,dandelion,0.9977639,0.9977639,1.982925e-07,1.3919698e-07,0.0020179935,0.0002178425
1340,2,2,tulips,tulips,0.99796945,4.6608593e-09,1.05969434e-07,0.99796945,0.0020275644,2.8951017e-06
1354,2,2,tulips,tulips,1.0,2.5121552e-18,4.2879375e-13,1.0,2.4266272e-13,4.0887737e-15
1361,0,0,dandelion,dandelion,1.0,1.0,2.144746e-12,2.6427877e-11,1.3402758e-11,7.600761e-14
1363,3,3,sunflowers,sunflowers,0.50053614,0.18932286,0.0036239785,0.30435872,0.50053614,0.0021583026
1374,1,1,daisy,daisy,0.9999999,3.496353e-11,0.9999999,2.3537854e-09,5.749894e-08,9.81924e-11
1383,1,0,daisy,dandelion,0.94291294,0.94291294,6.219496e-05,0.037614707,0.00050690473,0.018903362
1389,3,3,sunflowers,sunflowers,1.0,9.192612e-13,1.6867624e-13,4.3276058e-17,1.0,3.1371847e-15
1399,1,1,daisy,daisy,1.0,7.250749e-17,1.0,1.2990445e-19,5.974224e-12,1.2704142e-20
1406,2,2,tulips,tulips,1.0,4.9163603e-13,8.8466523e-10,1.0,3.6625945e-08,2.3966612e-08
1416,1,1,daisy,daisy,0.9999999,8.1972246e-08,0.9999999,3.841418e-09,3.521651e-08,7.052005e-11
1420,2,2,tulips,tulips,0.99997723,8.1574507e-07,2.6545631e-08,0.99997723,1.0013192e-07,2.1765394e-05
1421,3,3,sunflowers,sunflowers,1.0,7.976481e-09,1.01556055e-10,5.0469568e-12,1.0,1.7241079e-12
1424,1,1,daisy,daisy,1.0,8.953102e-10,1.0,1.2868512e-13,1.6879769e-08,5.915562e-14
1428,4,4,roses,roses,0.99234253,1.551392e-09,2.6778825e-05,0.0076305824,2.7190685e-08,0.99234253
1433,1,1,daisy,daisy,0.99994254,2.0916581e-05,0.99994254,1.2781544e-06,3.534596e-05,5.580654e-09
1439,4,4,roses,roses,0.99986017,1.3864999e-17,1.5466872e-10,0.00013975929,1.6627495e-10,0.99986017
1447,2,2,tulips,tulips,1.0,1.0334133e-08,1.0834452e-09,1.0,4.9308296e-10,5.995977e-10
1454,2,2,tulips,tulips,0.99999094,4.7550904e-12,4.7754867e-08,0.99999094,4.4933088e-10,9.067573e-06
1471,0,0,dandelion,dandelion,1.0,1.0,2.6173772e-09,9.5061444e-14,1.8850489e-10,1.89834e-15
1474,4,4,roses,roses,0.9999999,4.7625705e-14,5.810848e-13,1.4998e-07,1.975835e-17,0.9999999
1489,3,3,sunflowers,sunflowers,0.99932826,0.00066888845,2.8509855e-06,1.5808166e-09,0.99932826,2.92069e-09
1492,0,0,dandelion,dandelion,0.55056506,0.55056506,0.29923984,0.099395126,0.00012536162,0.050674632
1495,3,3,sunflowers,sunflowers,0.61710685,0.00025421317,2.9443589e-05,0.2736443,0.61710685,0.10896516
1507,0,0,dandelion,dandelion,0.9998248,0.9998248,1.223123e-10,2.4508486e-09,0.00017520197,4.4915444e-13
1532,0,0,dandelion,dandelion,1.0,1.0,1.0375801e-09,5.043259e-13,2.4267746e-10,2.967127e-13
1539,0,0,dandelion,dandelion,0.9999999,0.9999999,1.4650073e-12,2.1202866e-10,1.06731655e-07,1.6443105e-13
1540,4,4,roses,roses,0.9999993,1.7423092e-11,6.996608e-09,6.993286e-07,4.2449134e-12,0.9999993
1543,2,2,tulips,tulips,0.99999964,2.9046615e-10,4.1061463e-11,0.99999964,1.502678e-08,3.52478e-07
1548,2,2,tulips,tulips,0.99999976,3.7053016e-15,4.546622e-12,0.99999976,1.7590352e-08,2.5242076e-07
1556,0,0,dandelion,dandelion,1.0,1.0,3.8933106e-09,1.2599387e-09,1.7856545e-10,2.3249023e-14
1557,0,0,dandelion,dandelion,0.9999999,0.9999999,9.684628e-08,9.423139e-14,4.1976648e-11,1.3949733e-13
1576,2,2,tulips,tulips,0.80244476,8.296431e-07,6.2678137e-06,0.80244476,1.1225682e-06,0.19754705
